Name,City,State,Details URL
Abirami Theatre: Kulothungan Complex,Namakkal,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-abirami-theatre-kulothungan-complex-namakkal-tamil-nadu.html
Abrar Army Centre Theatre,Pune,Maharashtra,https://www.cinemaprofile.com/theatre/view-abrar-army-centre-pune-maharashtra.html
Accel Animation Studios Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-accel-animation-studios-chennai-tamil-nadu.html
Ace Theatre,Mukundapuram,Kerala,https://www.cinemaprofile.com/theatre/view-ace-theatre-mukundapuram-kerala.html
Achireddy Cinema Hall Theatre,Nalgonda,Telangana,https://www.cinemaprofile.com/theatre/view-achireddy-cinema-hall-nalgonda-telangana.html
Baba Theatre,Mahabub Nagar,Telangana,https://www.cinemaprofile.com/theatre/view-baba-theatre-mahabub-nagar-telangana.html
Babu Talkies Theatre,Ottapalam,Kerala,https://www.cinemaprofile.com/theatre/view-babu-talkies-ottapalam-kerala.html
Babu Theatre Complex,Kanchipuram,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-babu-theatre-complex-kanchipuram-tamil-nadu.html
Baby Theatre,Changanacherry,Kerala,https://www.cinemaprofile.com/theatre/view-baby-theatre-changanacherry-kerala.html
Badradri Theatre,Bhuvanagiri,Telangana,https://www.cinemaprofile.com/theatre/view-badradri-theatre-bhuvanagiri-telangana.html
Bahar Cinema Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-bahar-cinema-mumbai-maharashtra.html
Bajarang Cine World Theatre,Surat,Gujarat,https://www.cinemaprofile.com/theatre/view-bajarang-cine-world-surat-gujarat.html
Bajarang Gold Laser Cinema Theatre,Surat,Gujarat,https://www.cinemaprofile.com/theatre/view-bajarang-gold-laser-cinema-surat-gujarat.html
Bajrang Cinema Theatre,Surat,Gujarat,https://www.cinemaprofile.com/theatre/view-bajrang-cinema-surat-gujarat.html
Bajrang Talkies Theatre,Gopalganj,Bihar,https://www.cinemaprofile.com/theatre/view-bajrang-talkies-gopalganj-bihar.html
Bajrang Talkies Theatre,Korba,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-bajrang-talkies-korba-chhattisgarh.html
Bala Balaji Theatre,Krishna,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-bala-balaji-theatre-krishna-andhra-pradesh.html
Bala Chander Talkies Theatre,Bangarpet,Karnataka,https://www.cinemaprofile.com/theatre/view-bala-chander-talkies-bangarpet-karnataka.html
Bala Talkies Theatre,Hosapete,Karnataka,https://www.cinemaprofile.com/theatre/view-bala-talkies-hosapete-karnataka.html
Balaji Chitra Mandir Theatre,Bhokar,Maharashtra,https://www.cinemaprofile.com/theatre/view-balaji-chitra-mandir-bhokar-maharashtra.html
Balaji Chitra Mandir Theatre,Solapur,Maharashtra,https://www.cinemaprofile.com/theatre/view-balaji-chitra-mandir-solapur-maharashtra.html
Balaji Chitra Mandira Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-chitra-mandira-bengaluru-karnataka.html
Balaji Cine Villa Theatre,Vijayawada,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-cine-villa-vijayawada-andhra-pradesh.html
Balaji Cinema Theatre,Raipur,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-balaji-cinema-raipur-chhattisgarh.html
Balaji Cineplex Theatre,Khargone,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-cineplex-khargone-madhya-pradesh.html
Balaji Cineplex: Crescent Mall Theatre,Jetpur,Gujarat,https://www.cinemaprofile.com/theatre/view-balaji-cineplex-crescent-mall-jetpur-gujarat.html
Balaji Deluxe Theatre,Mysuru,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-deluxe-theatre-mysuru-karnataka.html
Balaji Geeta Theatre,Mandapeta,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-geeta-theatre-mandapeta-andhra-pradesh.html
Balaji Kala Mandir Theatre,Chirala,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-kala-mandir-chirala-andhra-pradesh.html
Balaji Movieplex Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-balaji-movieplex-mumbai-maharashtra.html
Balaji Picture Palace Theatre,Bellampalli,Telangana,https://www.cinemaprofile.com/theatre/view-balaji-picture-palace-bellampalli-telangana.html
Balaji Picture Palace Theatre,Bellary,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-picture-palace-bellary-karnataka.html
Balaji Prasanna Theatre,Chitradurga,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-prasanna-theatre-chitradurga-karnataka.html
Balaji Saravana Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-balaji-saravana-theatre-chennai-tamil-nadu.html
Balaji Talkies Theatre,K R Nagar,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-talkies-k-r-nagar-karnataka.html
Balaji Talkies Theatre,Channarayapatna,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-talkies-channarayapatna-karnataka.html
Balaji Talkies Theatre,Hindupur,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-talkies-hindupur-andhra-pradesh.html
Balaji Talkies Theatre,Madanapalle,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-talkies-madanapalle-andhra-pradesh.html
Balaji Talkies Theatre,Madanapalle,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-talkies-madanapalle-andhra-pradesh.html
Balaji Theatre,Cherial,Telangana,https://www.cinemaprofile.com/theatre/view-balaji-theatre-cherial-telangana.html
Balaji Theatre,Cherukupalle,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-theatre-cherukupalle-andhra-pradesh.html
Balaji Theatre,Acharapakkam,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-balaji-theatre-acharapakkam-tamil-nadu.html
Balaji Theatre,Puducherry,Puducherry,https://www.cinemaprofile.com/theatre/view-balaji-theatre-puducherry-puducherry.html
Balaji Theatre,Chickballapur,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-theatre-chickballapur-karnataka.html
Balaji Theatre,Kanchipuram,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-balaji-theatre-kanchipuram-tamil-nadu.html
Balaji Theatre,Challakere,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-theatre-challakere-karnataka.html
Balaji Theatre,Seethanagaram,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-theatre-seethanagaram-andhra-pradesh.html
Balaji Theatre,Magadi,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-theatre-magadi-karnataka.html
Balaji Theatre,Mahabub Nagar,Telangana,https://www.cinemaprofile.com/theatre/view-balaji-theatre-mahabub-nagar-telangana.html
Balaji Theatre,Uravakonda,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-theatre-uravakonda-andhra-pradesh.html
Balaji Theatre,Punganuru,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-balaji-theatre-punganuru-andhra-pradesh.html
Balaji Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-theatre-bengaluru-karnataka.html
Balaji Theatre,Malur,Karnataka,https://www.cinemaprofile.com/theatre/view-balaji-theatre-malur-karnataka.html
Balaji Theatre,Ibrahimpatnam,Telangana,https://www.cinemaprofile.com/theatre/view-balaji-theatre-ibrahimpatnam-telangana.html
Balaji Theatre,Mulug,Telangana,https://www.cinemaprofile.com/theatre/view-balaji-theatre-mulug-telangana.html
Capital Cinema Theatre,Jetpur,Gujarat,https://www.cinemaprofile.com/theatre/view-capital-cinema-jetpur-gujarat.html
Capital Cinemas: Trendset Mall Theatre,Vijayawada,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-capital-cinemas-trendset-mall-vijayawada-andhra-pradesh.html
Capital T Cinema Theatre,Newasa,Maharashtra,https://www.cinemaprofile.com/theatre/view-capital-t-cinema-newasa-maharashtra.html
Capithans Theatre,Kollam,Kerala,https://www.cinemaprofile.com/theatre/view-capithans-theatre-kollam-kerala.html
Captain G S Suri Auditorium Theatre,Jabalpur,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-captain-g-s-suri-auditorium-jabalpur-madhya-pradesh.html
Cariappa Auditorium Theatre,Thiruvananthapuram,Kerala,https://www.cinemaprofile.com/theatre/view-cariappa-auditorium-thiruvananthapuram-kerala.html
Carnatic Theatre,Coimbatore,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-carnatic-theatre-coimbatore-tamil-nadu.html
Carnival Cinema: Harmony Mall Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-carnival-cinema-harmony-mall-mumbai-maharashtra.html
Carnival Cinemas Theatre,Ajmer,Rajasthan,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-ajmer-rajasthan.html
